cat,major_name,acres,sq_miles,prod_year,source,HUC_8,HUC4,Shape_Leng,Shape_Area,major,n,s,e,w
19,Mustinka River,550870,861,2023,DNR Catchment Dataset,09020102,0902,379191.37099,2229302292.54,55,5122935,5041464,276692,218725
20,Bois de Sioux River,355934,556,2023,DNR Catchment Dataset,09020101,0902,342645.463247,1440421155.51,54,5129752,5056366,263271,199076
21,Chippewa River,1330105,2078,2023,DNR Catchment Dataset,07020005,0702,627072.920642,5382763630.23,26,5118650,4979141,342632,266278
22,South Fork Crow River,818096,1278,2023,DNR Catchment Dataset,07010205,0701,527169.937633,3310728285.11,19,5002340,4945065,454290,336984
23,North Fork Crow River,944909,1476,2023,DNR Catchment Dataset,07010204,0701,652801.601554,3823926289.3,18,5059478,4976237,460407,323969
24,Mississippi River - St. Cloud,717374,1121,2023,DNR Catchment Dataset,07010203,0701,390192.441892,2903119614.77,17,5075527,5004299,459624,383646
25,Sauk River,666747,1042,2023,DNR Catchment Dataset,07010202,0701,531177.936397,2698241115.64,16,5095817,5015240,408353,319815
26,Long Prairie River,565080,883,2023,DNR Catchment Dataset,07010108,0701,494843.175138,2286805377.82,14,5139108,5070354,389402,299506
27,Mississippi River - Sartell,656113,1025,2023,DNR Catchment Dataset,07010201,0701,385200.376301,2655203732.32,15,5120508,5037686,438009,368400
28,Zumbro River,909363,1421,2023,DNR Catchment Dataset,07040004,0704,402827.923917,3680077672.26,41,4918203,4854928,585782,483478
29,Upper Wapsipinicon River,8264,13,2023,DNR Catchment Dataset,07080102,0708,29248.4222678,33443325.8497,47,4822477,4816295,533763,523161
30,Cedar River,454029,709,2023,DNR Catchment Dataset,07080201,0708,254489.146088,1837398061.16,48,4866508,4816205,529431,470047
31,Shell Rock River,157701,246,2023,DNR Catchment Dataset,07080202,0708,151930.653291,638196336.206,49,4848558,4816208,489185,456120
32,Winnebago River,45649,71,2023,DNR Catchment Dataset,07080203,0708,91732.4443763,184736988.676,50,4834957,4816298,464331,446261
33,Cannon River,940573,1470,2023,DNR Catchment Dataset,07040002,0704,521725.817365,3806379936.91,39,4940424,4852072,535301,432131
34,Mississippi River - Lake Pepin,382838,598,2023,DNR Catchment Dataset,07040001,0704,391381.276208,1549294920.01,38,4968573,4912651,572811,470679
35,Mississippi River - Winona,419200,655,2023,DNR Catchment Dataset,07040003,0704,305865.169576,1696448050.5,40,4917772,4862806,626335,548175
36,Mississippi River - La Crescent,60553,95,2023,DNR Catchment Dataset,07040006,0704,95957.5183096,245049225.672,42,4873131,4846633,641426,615458
37,Root River,1061507,1659,2023,DNR Catchment Dataset,07040008,0704,386758.024843,4295785549.79,43,4871399,4816972,640834,515233
38,Mississippi River - Reno,117438,183,2023,DNR Catchment Dataset,07060001,0706,120321.766056,475255112.025,44,4848630,4817556,644199,614956
